harga,LB,LL,kamar_tidur,kamar_mandi,proyek,alamat,telp,email,atap,dinding,lantai,unit_subsidi,unit_komersil,longlat,kabupaten_kota
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PANJI RESIDENCE.,"JLN.HUTAMA KARYA no. 10 RIAU, KAB KAMPAR,
              Tambang, Kualu",Telp : 087869752506,Email : wirakarya@gmail.com,"a. Atap  Rangka Baja Rinagan ,Atap Multiroof/Sejenisnya","b. Dinding  Pasanagn Bata Merah,Plaster Luar Dalam, Cat Luar Dalam","c. Lantai & Pondasi  Granit 60 x 60 & Pasangan Batu Kali,Sloof Cor Beton Besi Bertulang",Subsidi : 4 Unit,Komersil : 0 Unit,"0.407121, 101.393224","C94V+R7X Teluk Kenidai, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 162.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 96m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,BUKIT PERMATA ASRI TAHAP 3,"Jalan Paus no. 7F RIAU, KOTA PEKANBARU,
              Marpoyan Damai, Tangkerang Tengah",Telp : 081275343000,Email : junaidi.bhr71@yahoo.co.id,a. Atap  Genteng Metal,b. Dinding  Batu Bata Plester Luar Dalam,c. Lantai & Pondasi  Keramik & Tapak Beton,Subsidi : 8 Unit,Komersil : 0 Unit,"0.575788, 101.458552","HFG5+8C7 Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Mitra Griya Sri Meranti,"Jl. Soekarno Hatta no. 25 E RIAU, KOTA PEKANBARU,
              Payung Sekaki, Air Hitam",Telp : 082173005115,Email : mitraswastyabadi@yahoo.com,a. Atap  Spandek Lurus,b. Dinding  Bata diplaster dan dicat,c. Lantai & Pondasi  Keramik & Semen Halus,Subsidi : 1 Unit,Komersil : 0 Unit,"0.575788, 101.458552","HFG5+8C7 Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 100.8m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,GRIYA AL FASSALAM,"JL.KIJANG PUTIH KM.7 no. 02 RIAU, KAB KAMPAR,
              Tapung, Karya Indah",Telp : 082318924792,Email : ratusejagat274@gmail.com,a. Atap  Spandek,b. Dinding  Batu Bata Plester,c. Lantai & Pondasi  Keramik & Sloof dan Tiang Cor Beton,Subsidi : 10 Unit,Komersil : 0 Unit,"0.575788, 101.458552","HFG5+8C7 Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Griya putra bangsa 2,"Jln. Kubang Jaya no. 01 RIAU, KAB KAMPAR,
              Siak Hulu, Kubang Jaya",Telp : 0812 7622 2105,Email : ptlestariputraperkasa@gmail.com,a. Atap  baja ringan atap spandek,b. Dinding  batu bata plaster,c. Lantai & Pondasi  keramik  & cor bertulang,Subsidi : 2 Unit,Komersil : 0 Unit,"0.575788, 101.458552","HFG5+8C7 Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 104m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,KADIRAN CIPTA RESIDENCE III,"Jl. Air Hitam Perumahan Orchid Residence no. No.0 RIAU, KOTA PEKANBARU,
              Tampan, Binawidya",Telp : 081275193737,Email : zulmahaidy87@gmail.com,a. Atap  Genteng Metal,b. Dinding  Bata Plaster,c. Lantai & Pondasi  Keramik & Batu Bata dan Beton Bertulang,Subsidi : 4 Unit,Komersil : 0 Unit,"0.458417, 101.506841","FG54+9P8 Kulim, Kota Pekanbaru, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 84m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Nabila berkah residence2,"jalan sosial no. 3 RIAU, KOTA PEKANBARU,
              Tenayan Raya, Mentangor",Telp : 081270769750,Email : fitriawulan1989@gmail.com,a. Atap  atap genteng metal,b. Dinding  batu bata diplester luar dalam,c. Lantai & Pondasi  keramik 40x40 & tapak beton bertulang,Subsidi : 42 Unit,Komersil : 0 Unit,"0.458417, 101.506841","FG54+9P8 Kulim, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,HARAPAN SARI MULIA TAHAP II,,,,a. Atap  GENTENG,b. Dinding  BATA MERAH,c. Lantai & Pondasi  KEERAMIK & TAPAK BETON BERTULANG,Subsidi : 3 Unit,Komersil : 0 Unit,"0.458417, 101.506841","FG54+9P8 Kulim, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 91m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,GRIYA PADAT KARYA V,"Jl air hitam komplek orchid residence ruko no 04 Rt 01 Rw06 no. 04 RIAU, KOTA PEKANBARU,
              Rumbai, Umban Sari",Telp : 085263705027,Email : nurwahanawtg@gmail.com,a. Atap  semi genteng,b. Dinding  batu bata diplester,c. Lantai & Pondasi  acian dipasang keramik & kostruksi beton bertulang,Subsidi : 6 Unit,Komersil : 0 Unit,"0.584357, 101.400727","HCM2+P7X Umban Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 100m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,SRI MERSING RESIDENCE 4,"Jalan Syech Umar no. No 1 RIAU, KOTA DUMAI,
              Dumai Barat, Pangkalan Sesai",Telp : 085263607610,Email : suksesselamatsentosadmi@gmail.com,a. Atap  Spandek,b. Dinding  Bata Merah Acian Halus,c. Lantai & Pondasi  Keramik 40 x 40 & Pondasi Tapak,Subsidi : 4 Unit,Komersil : 0 Unit,"1.696088, 101.388883","M9WQ+CHJ Purnama, Dumai City, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 33m
                    2","Luas Lahan: 104m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,CAHAYA INDRALOKA,"Jalan kopi no. 8 RIAU, KOTA PEKANBARU,
              Bukit Raya, Tangkerang Labuai",Telp : 0761 27428,Email : inaracia08@gmail.com,a. Atap  seng spandek,b. Dinding  batu bata plaster,c. Lantai & Pondasi  keramik & plat setempat/slop,Subsidi : 20 Unit,Komersil : 0 Unit,"0.484534, 101.528938","FGMH+RH8 Bencah Lesung, Kota Pekanbaru, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,BUKIT PERMATA SUMBARI I TAHAP IV-2,"JL.Simpang Jengkol no. 01 RIAU, KOTA PEKANBARU,
              Tenayan Raya, Sialangsakti",Telp : 085265641599,Email : pt.sumbarijayamandiri2018@gmail.com,a. Atap  atap sepandek dan baja ringan,b. Dinding  bata merah dan di palster serta di cat,c. Lantai & Pondasi  lantai kramik 40 kali 40 & pandasi model ceker ayam,Subsidi : 7 Unit,Komersil : 0 Unit,"0.492283, 101.522985","FGRF+W59 Bencah Lesung, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Griya Langgam 2 Tahap 2,"Jl. Garuda Km 5 Perumahan Griya Langgam 2 no. E13 RIAU, KAB PELALAWAN,
              Pangkalan Kerinci, Pangkalan Kerinci Barat",Telp : 081378237883,Email : ptkaryasuksesproperty@gmail.com,a. Atap  Long span 6 kaki,b. Dinding  Bata plaster + Aci,c. Lantai & Pondasi  Granit 60x60 & Tapak Bertulang,Subsidi : 10 Unit,Komersil : 0 Unit,"0.390079, 101.820578","9RRC+26P Pangkalan Kerinci Bar., Kabupaten Pelalawan, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 100m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,ZAMAR MANDIRI REGENCY 2 TAHAP 2,"JALAN TUANKU TAMBUSAI no. 34 B RIAU, KOTA PEKANBARU,
              Sukajadi, Jadirejo",Telp : 081374505873,Email : zamarmandiri2016@gmail.com,a. Atap  MULTI ROOF SETARA,b. Dinding  BATU BATA MERAH,c. Lantai & Pondasi  KERAMIK & TAPAK SLOF BETON COR BERTULANG,Subsidi : 2 Unit,Komersil : 0 Unit,"0.502500, 101.340833","G82R+X8W Karya Indah, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 104m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PERUMAHAN SYANDANA ESTATE 1 TAHAP 2,"PERUMAHAN SYANDANA ESTATE 1 no. C 11 RIAU, KAB KAMPAR,
              Siak Hulu, Kubang Jaya",Telp : 085271464465,Email : syandanaestate@gmail.com,a. Atap  Rangka Baja Ringan + Penutup Atap Metal,b. Dinding  Bata Merah Finishing Plester Aci,c. Lantai & Pondasi  Keramik 40x40 & Tapak Beton Bertulang,Subsidi : 7 Unit,Komersil : 0 Unit,"0.414931, 101.439942","CC7Q+XXG Kubang Jaya, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,MUTIA RESIDENCE,"JALAN SEKUNTUM no. 01 RIAU, KOTA PEKANBARU,
              Tenayan Raya, Bencahlesung",Telp : 085278699896,Email : pt.arizkomandaupersada@gmail.com,a. Atap  RANGKA BAJA RINGAN DENGAN GENTENG METAL,b. Dinding  BATU BATA MERAH PLESTER LUAR DAN DALAM SERTA DI CAT,c. Lantai & Pondasi  KERAMIK & PLAT BETON BERTULANG,Subsidi : 15 Unit,Komersil : 0 Unit,"0.418889, 101.411944","CC96+HQ4 Kubang Jaya, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Perumahan Zona Madani,"Jl. Ceras Km. 8 no. - RIAU, KAB SIAK,
              Tualang, Perawang Barat",Telp : 081270904885,Email : zulmadani6475@gmail.com,"a. Atap  Baja ringan, atap multiroof",b. Dinding  Batu bata merah diplaster luar dalam,"c. Lantai & Pondasi  Granit & Cor setempat, slof beton dengan tulang besi 10mm",Subsidi : 0 Unit,Komersil : 0 Unit,"0.666422, 101.574890","MH8F+HX6 Perawang Barat, Siak Regency, Riau, Indonesia"
"Harga:
                    Rp 285.000.000","Luas Bangunan: 45m
                    2","Luas Lahan: 115m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,"Kapau sari residence ""Komplek Magnolia""","jalan imam munandar  no. 77 A RIAU, KOTA PEKANBARU,
              Bukit Raya, Tangkerang Labuai",Telp : 0761858518,Email : ptindobarunusantara@yahoo.co.id,a. Atap  limas,b. Dinding  batu bata,c. Lantai & Pondasi  granit & cakar ayam,Subsidi : 0 Unit,Komersil : 0 Unit,"0.500262, 101.476860","GF2G+4P5 Tengkerang Utara, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 126m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Dumai Cahaya Abadi,"JL. Dahlia no. 01 RIAU, KOTA DUMAI,
              Medang Kampai, Teluk Makmur",Telp : 085265871770,Email : pt.riskycahayaabadi9@gmail.com,a. Atap  Spandek,b. Dinding  Batu Bata,c. Lantai & Pondasi  Keramik 40 x 40 & Cor Bertulang,Subsidi : 229 Unit,Komersil : 0 Unit,"1.635843, 101.543252","JGPV+88J Tlk. Makmur, Kota Dumai, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 102m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Grand Setia Mulia,"Jalan Air Hitam no. 7 RIAU, KOTA PEKANBARU,
              Payung Sekaki, Air Hitam",Telp : 07616702578,Email : apr.properti@gmail.com,a. Atap  Genteng warna,b. Dinding  Batu bata plaster,c. Lantai & Pondasi  keramik & beton slof bertulang,Subsidi : 14 Unit,Komersil : 0 Unit,"1.635843, 101.543252","JGPV+88J Teluk Makmur, Dumai City, Riau, Indonesia"
"Harga:
                    Rp 145.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 120m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Fatma Garden,"Jalan Putri Tujuh Blok F no. 17 RIAU, KOTA PEKANBARU,
              Tampan, Sidomulyo Barat",Telp : 081268939784,Email : riauindahpermata529@gmail.com,a. Atap  spandek rangka baja ringan,b. Dinding  dinding bata diplaster,c. Lantai & Pondasi  keramik 40 x 40 & beton bertulang,Subsidi : 1 Unit,Komersil : 0 Unit,"0.487778, 101.345833","F8QW+488 Karya Indah, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 130.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Taman putra 4,"Jalab Kubang Jaya no. 01 RIAU, KAB KAMPAR,
              Siak Hulu, Kubang Jaya",Telp : 081276222105,Email : ptlestariputraperkasa@gmail.com,a. Atap  Bajaringan Atap Spandek,b. Dinding  Batu Bata Plaster,c. Lantai & Pondasi  Keramik & Cor Betulang,Subsidi : 2 Unit,Komersil : 0 Unit,"0.418414, 101.402189","CC92+9V8 Kubang Jaya, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,YLZ RESIDENCE,"JALAN TUANKU TAMBUSAI  no. 34 B RIAU, KOTA PEKANBARU,
              Sukajadi, Jadirejo",Telp : 085264451680,Email : ptdawera1@gmail.com,a. Atap  MULTI ROOF,b. Dinding  BATU BATA MERAH,c. Lantai & Pondasi  KERAMIK 50 x 50 & COR SLOF BETON,Subsidi : 0 Unit,Komersil : 0 Unit,"0.307500, 101.033889","825M+2H2 Langgini, Kabupaten Kampar, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 104m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,MADANI,"Jl. Lingkar Danau Buatan Perumahan Madani no. A-02 RIAU, KOTA PEKANBARU,
              Rumbai Pesisir, Lembah Sari",Telp : 081275876999,Email : griyaasragemilang@gmail.com,a. Atap  ATAP MULTI ROF,b. Dinding  PLASTER ACI,c. Lantai & Pondasi  KERAMIK & COR BERTULANG,Subsidi : 101 Unit,Komersil : 0 Unit,"0.575212, 101.480185","HFGJ+33M Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,The Melur Green House,"JL. SAKURA UJUNG KOMPLEK RUKO TAMAN SAKURA RESIDENCE BLOK A no. 1-2 RIAU, KAB PELALAWAN,
              Pangkalan Kerinci, Pangkalan Kerinci Timur Agung",Telp : 082171255569,Email : rcnkerinci@gmail.com,a. Atap  SENG GELOMBANG,b. Dinding  BATA MERAH,c. Lantai & Pondasi  KERAMIK & COR SLOOF + TAPAK,Subsidi : 0 Unit,Komersil : 0 Unit,"0.575212, 101.480185","HFGJ+33M Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 105m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,BASENJA RESIDENCE,"JL. NENAS  no. 39 RIAU, KOTA PEKANBARU,
              Sukajadi, Jadirejo",Telp : 081364281714,Email : basenjahutamagroup@gmail.com,a. Atap  Ranga Atap Baja Ringan Atap Multi Roof /Sejenisnya,"b. Dinding  Pasangan Batu Bata ,Plaster Luar Dalam,Cat Luar Dalam","c. Lantai & Pondasi  Keramik & Pasangan Batu Bata ,Cor Sloof /Balok Bertulang",Subsidi : 137 Unit,Komersil : 0 Unit,"0.575212, 101.480185","HFGJ+33M Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Bumi Kualu Damai IV Tahap 2,"Jl. Tuanku Tambusai no. 34B RIAU, KOTA PEKANBARU,
              Marpoyan Damai, Wonorejo",Telp : 082174767620,Email : ptcatur58@gmail.com,a. Atap  Baja ringan + Genteng metal,b. Dinding  Bata plaster aci,c. Lantai & Pondasi  Keramik 40x40 & Bata rolag + Sloof beton bertulang,Subsidi : 0 Unit,Komersil : 0 Unit,"0.575212, 101.480185","HFGJ+33M Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 117m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PERUMAHAN ANAK RANTAU RESIDENCE,"JALAN JENDRAL SUDIRMAN NO 15 SAMPING SMUN1 UJUNGBATU no. 15 RIAU, KAB ROKAN HULU,
              Ujung Batu, Ujung Batu",Telp : 08137111252,Email : pt.anakrantauperkasa@gmail.com,"a. Atap  GENTENG METAL ( RANGKA BAJA C75-65 SNI DAN ATAP PRIMA ROOF 0,3 MM","b. Dinding  BATU BATA DIPLASTER DAN DI CAT ( BATU BATA JUMBO DAN DIBAKAR, SEMEN PPC BERSTANDAR SNI)",c. Lantai & Pondasi  KERAMIN 40X40CM & TAPAK DAN BETON BERTULANG (BESI 10 SNI DAN CORAN K 225),Subsidi : 0 Unit,Komersil : 0 Unit,"0.575212, 101.480185","HFGJ+33M Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 107m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,FATMA GARDEN,"Jalan Putri Tujuh Blok F no. 17 RIAU, KOTA PEKANBARU,
              Tampan, Sidomulyo Barat",Telp : 081268939784,Email : riauindahpermata529@gmail.com,a. Atap  SPANDEK RANGKA BAJA RINGAN,b. Dinding  DINDING BATA DIPLASTER,c. Lantai & Pondasi  KERAMIK 40X40 & BETON BERTULANG,Subsidi : 1 Unit,Komersil : 0 Unit,"0.575212, 101.480185","HFGJ+33M Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Bumi Tenayan Asri,"Jl Pinang no. 28D RIAU, KOTA PEKANBARU,
              Marpoyan Damai, Wonorejo",Telp : 082174767620,Email : ptsemesta13@gmail.com,a. Atap  Baja Ringan + Genteng Metal,b. Dinding  Bata Plaster Aci,c. Lantai & Pondasi  Keramik 40x40 & Bata Rolag + Sloof Beton Bertulang,Subsidi : 0 Unit,Komersil : 0 Unit,"0.575212, 101.480185","HFGJ+33M Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PANJI RESIDEN,"Jl.Hutama Karya Dusun III Durian Tandang no. 10 RIAU, KAB KAMPAR,
              Tambang, Kualu",Telp : 087869752506,Email : wirakarya@gmail.com,a. Atap  Rangka Baja,b. Dinding  Bata Merah Diplaster dengan Campuran Semen,c. Lantai & Pondasi  Granit 60 x 60 & Batu Kali/cor cakar ayam campuran,Subsidi : 0 Unit,Komersil : 0 Unit,"0.575212, 101.480185","HFGJ+33M Lembah Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 106m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,ZHAFIRAH GREEN GARDEN,"Jl. Teratai Indah no. 5 RIAU, KOTA PEKANBARU,
              Rumbai, Umban Sari",Telp : 081267532434,Email : ktigaandalas@gmail.com,a. Atap  Spandek Gelombang,b. Dinding  Batu Bata Plaster dan Cat,c. Lantai & Pondasi  Keramik & Cor Beton Bertulang,Subsidi : 0 Unit,Komersil : 0 Unit,"0.413103, 101.389759","C97Q+6WR Teluk Kenidai, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Nuansa Kulim Indah Tahap 5,"Jalan Mahang Raya no. 05 RIAU, KAB KAMPAR,
              Siak Hulu, Pandau Jaya",Telp : 0813644000666,Email : ptputraanasjaya@gmail.com,a. Atap  genteng metal,b. Dinding  bata plester luar bertulang,c. Lantai & Pondasi  keramik & bata dan sloof beton bertulang,Subsidi : 3 Unit,Komersil : 0 Unit,"0.413103, 101.389759","C97Q+6WR Teluk Kenidai, Kampar Regency, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 102m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,FAZAR ASRI 5,"JL. SOEKARNO HATTA KOMPLEK SENTRAL BISNIS BLOK C III NO. 06 no. 06 RIAU, KOTA PEKANBARU,
              Marpoyan Damai, Tangkerang Barat",Telp : 085271437210,Email : adhitama.jp@gmail.com,"a. Atap  Rangka Baja Ringan,Atap Genteng Metal/Sejenisnya","b. Dinding  Pasangan Batu Bata ,Plaster Luar Dalam, Cat Luar Dalam","c. Lantai & Pondasi  Keramik & Pasangan Batu Bata,Sloof Cor  Beton Besi Bertulang",Subsidi : 7 Unit,Komersil : 0 Unit,"0.586354, 101.406495","HCP4+GHX Umban Sari, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,SRI MERSING RESIDENCE 5,"Jalan M. Yusuf no. 01 RIAU, KOTA DUMAI,
              Medang Kampai, Teluk Makmur",Telp : 081378272890,Email : pttuahjayaabadi@gmail.com,a. Atap  LONG SPANDEK,b. Dinding  BATA MERAH ACIAN HALUS,c. Lantai & Pondasi  KERAMIK 40/40 & COR TAPAK,Subsidi : 24 Unit,Komersil : 0 Unit,"1.634877, 101.558329","JHM5+X84 Guntung, Kota Dumai, Riau, Indonesia"
"Harga:
                    Rp 550.000.000","Luas Bangunan: 100m
                    2","Luas Lahan: 135m
                      2",Kamar Tidur: 4,Kamar Mandi: 3,Wasta Lagoon,"Jalan srikandi no 270 rt 1/rw 1 kelurahan delima kecamatan tampan kota Pekan Baru provinsi Riau no. 270 RIAU, KOTA PEKANBARU,
              Tampan, Delima",Telp : 07616700567,Email : wardagraha@gmail.com,a. Atap  Genteng Beton munir,b. Dinding  Bata merah Plaster Aci,c. Lantai & Pondasi  Granite tile 60x60 & Tiang Pancang dan pondasi Tapak,Subsidi : 0 Unit,Komersil : 0 Unit,"0.488127, 101.406044","FCQ4+7C3 Delima, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 102m
                      2",Kamar Tidur: 2,Kamar Mandi: 2,PERUMAHAN PESONA DUMAI,"JL. RINDU DARAT, RT 021 RW.000 no. 00 RIAU, KOTA DUMAI,
              Dumai Barat, Purnama",Telp : 082386048394,Email : ptdidohazkirypurnama@gmail.com,a. Atap  GENTENG,b. Dinding  BATU BATA,c. Lantai & Pondasi  KERAMIK & TAPAK GAJAH,Subsidi : 0 Unit,Komersil : 1 Unit,"0.488127, 101.406044","FCQ4+7C3 Delima, Pekanbaru City, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,GRIYA AL KARNI,"Jalan Pepaya no. 221 RIAU, KAB PELALAWAN,
              Pangkalan Kerinci, Pangkalan Kerinci Kota",Telp : 085269223790,Email : alkarnibersaudara@yahoo.co.id,a. Atap  Longspan,b. Dinding  Bata Merah Diplaster + Aci,c. Lantai & Pondasi  Keramik 40 x 40 & Tapak,Subsidi : 17 Unit,Komersil : 0 Unit,"0.392523, 101.819183","9RV9+2M3 Pangkalan Kerinci Bar., Kabupaten Pelalawan, Riau, Indonesia"
"Harga:
                    Rp 162.000.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,Griya Ceras Sentosa,"Jl.raya Km.08 Perawang no. 01 RIAU, KAB SIAK,
              Tualang, Perawang Barat",Telp : 085271559408,Email : ptkiatintibangunsentosa@gmail.com,a. Atap  SENG,b. Dinding  BATU BATA,c. Lantai & Pondasi  KERAMIK & COR TIANG BERTULANG,Subsidi : 80 Unit,Komersil : 1 Unit,"0.392523, 101.819183","9RV9+2M3 Pangkalan Kerinci Barat, Pelalawan Regency, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,SURYA SALSA BILA I,"Jl. Pinag RT. 002/RW. 001 Dusun I Desa Rimbo Panjang Perumahan Surya Salsa Bila Blok. A. No. 1 no. 1 RIAU, KAB KAMPAR,
              Tambang, Rimbo Panjang",Telp : 081378060900,Email : ptsuryasalsabila.pajak@gmail.com,a. Atap  RANGKA BAJA RINGAN + GENTENG METAL,b. Dinding  BATU BATA DI PLESTER LUAR DAMA + DI ACI + FINISING DI CAT,c. Lantai & Pondasi  GRANIT 60X60 & SLOF BETON BERTULANG,Subsidi : 21 Unit,Komersil : 0 Unit,"0.420833, 101.296111","C7CW+8CQ Rimba Panjang, Kabupaten Kampar, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 128m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,PERUMAHAN ZAIRA PERMAI 3,"ANNISA PROPERTY, JALAN RAYA PASIR PUTIH NO 19, DEPAN TERAS BRI DUTA MAS no. 19 RIAU, KAB KAMPAR,
              Siak Hulu, Pandau Jaya",Telp : 082174849299,Email : budisiddik79@gmail.com,"a. Atap  Atap : Genteng Metal, Kuda-kuda : Baja Ringan","b. Dinding  Bata Merah, Plaster, Plamir, Cat","c. Lantai & Pondasi  Full Keramik & Slof 15x20 (Besi 10, Begol Besi 6) Rollack, Kayu Ubar Keliling",Subsidi : 75 Unit,Komersil : 0 Unit,"0.437713, 101.335949","C8QP+39P Tarai Bangun, Kabupaten Kampar, Riau, Indonesia"
"Harga:
                    Rp 150.500.000","Luas Bangunan: 36m
                    2","Luas Lahan: 108m
                      2",Kamar Tidur: 2,Kamar Mandi: 1,GRIYA ALKARNI,"JALAN PEPAYA no. 221 RIAU, KAB PELALAWAN,
              Pangkalan Kerinci, Pangkalan Kerinci Kota",Telp : 085269223790,Email : alkarnibersaudara@yahoo.co.id,a. Atap  SPANDEK LURUS,b. Dinding  BATU BATA PLASTER,c. Lantai & Pondasi  KERAMIK & BETON BETULANG,Subsidi : 3 Unit,Komersil : 0 Unit,"0.437713, 101.335949","C8QP+39P Tarai Bangun, Kampar Regency, Riau, Indonesia"
